sample_id,filename,ticker,asset_class,date,split,atr,ret_3d,ret_7d,ret_15d,ret_30d,label_3d,label_7d,label_15d,label_30d
BTC-USD_00090,BTC-USD_00090.png,BTC-USD,crypto,2021-04-02,train,0.043959,-0.005723,-0.013147,0.04106,-0.021686,HOLD,HOLD,HOLD,HOLD
BTC-USD_00091,BTC-USD_00091.png,BTC-USD,crypto,2021-04-03,train,0.043725,-0.005512,-0.019372,0.021647,-0.047472,HOLD,HOLD,HOLD,HOLD
BTC-USD_00092,BTC-USD_00092.png,BTC-USD,crypto,2021-04-04,train,0.041934,0.010164,0.037302,-0.024385,-0.007031,HOLD,HOLD,HOLD,HOLD
BTC-USD_00093,BTC-USD_00093.png,BTC-USD,crypto,2021-04-05,train,0.041327,-0.047212,0.024318,-0.053021,-0.096871,HOLD,HOLD,HOLD,HOLD
BTC-USD_00094,BTC-USD_00094.png,BTC-USD,crypto,2021-04-06,train,0.039955,-0.012505,0.014049,-0.044755,-0.028055,HOLD,HOLD,HOLD,HOLD
BTC-USD_00095,BTC-USD_00095.png,BTC-USD,crypto,2021-04-07,train,0.041793,0.000904,0.08734,-0.076511,-0.031347,HOLD,BUY,HOLD,HOLD
BTC-USD_00096,BTC-USD_00096.png,BTC-USD,crypto,2021-04-08,train,0.042071,0.064667,0.118649,-0.079564,0.023059,BUY,BUY,HOLD,HOLD
BTC-USD_00097,BTC-USD_00097.png,BTC-USD,crypto,2021-04-09,train,0.039043,0.031742,0.082094,-0.132353,0.008193,HOLD,BUY,SELL,HOLD
BTC-USD_00098,BTC-USD_00098.png,BTC-USD,crypto,2021-04-10,train,0.04125,0.027909,0.055562,-0.151618,-0.000218,HOLD,HOLD,SELL,HOLD
BTC-USD_00099,BTC-USD_00099.png,BTC-USD,crypto,2021-04-11,train,0.039096,0.060202,0.014785,-0.198985,-0.068048,BUY,HOLD,SELL,HOLD
BTC-USD_00100,BTC-USD_00100.png,BTC-USD,crypto,2021-04-12,train,0.037567,0.04712,-0.06855,-0.108368,-0.0599,BUY,HOLD,SELL,HOLD
BTC-USD_00101,BTC-USD_00101.png,BTC-USD,crypto,2021-04-13,train,0.041178,0.055539,-0.072152,-0.084632,-0.197679,BUY,HOLD,HOLD,SELL
BTC-USD_00102,BTC-USD_00102.png,BTC-USD,crypto,2021-04-14,train,0.042634,-0.030874,-0.117331,-0.146953,-0.244764,HOLD,SELL,SELL,SELL
BTC-USD_00103,BTC-USD_00103.png,BTC-USD,crypto,2021-04-15,train,0.040357,-0.039197,-0.157631,-0.164163,-0.235244,HOLD,SELL,SELL,SELL
BTC-USD_00104,BTC-USD_00104.png,BTC-USD,crypto,2021-04-16,train,0.042077,-0.118902,-0.201445,-0.09198,-0.303075,SELL,SELL,HOLD,SELL
BTC-USD_00105,BTC-USD_00105.png,BTC-USD,crypto,2021-04-17,train,0.041255,-0.099804,-0.18656,-0.062746,-0.281713,SELL,SELL,HOLD,SELL
BTC-USD_00106,BTC-USD_00106.png,BTC-USD,crypto,2021-04-18,train,0.053832,-0.071914,-0.192637,-0.069119,-0.332054,SELL,SELL,HOLD,SELL
BTC-USD_00107,BTC-USD_00107.png,BTC-USD,crypto,2021-04-19,train,0.054129,-0.041961,-0.137298,0.017354,-0.270114,HOLD,SELL,HOLD,SELL
BTC-USD_00108,BTC-USD_00108.png,BTC-USD,crypto,2021-04-20,train,0.05556,-0.073754,-0.031029,-0.04385,-0.409432,SELL,HOLD,HOLD,SELL
BTC-USD_00109,BTC-USD_00109.png,BTC-USD,crypto,2021-04-21,train,0.055382,-0.100103,-0.025828,0.016699,-0.325504,SELL,HOLD,HOLD,SELL
BTC-USD_00110,BTC-USD_00110.png,BTC-USD,crypto,2021-04-22,train,0.059936,-0.074204,0.016897,0.045164,-0.368124,SELL,HOLD,HOLD,SELL
