sample_id,filename,ticker,asset_class,date,split,atr,ret_1d,ret_5d,ret_10d,ret_20d,ret_30d,label_1d,label_5d,label_10d,label_20d,label_30d
BTC-USD_00060,BTC-USD_00060.png,BTC-USD,crypto,2018-03-03,train,0.069975,0.035732,-0.106583,-0.185959,-0.239129,-0.482313,HOLD,SELL,SELL,SELL,SELL
BTC-USD_00061,BTC-USD_00061.png,BTC-USD,crypto,2018-03-04,train,0.065014,0.001991,-0.201272,-0.222807,-0.257692,-0.483641,HOLD,SELL,SELL,SELL,SELL
BTC-USD_00062,BTC-USD_00062.png,BTC-USD,crypto,2018-03-05,train,0.059359,0.005259,-0.209398,-0.330831,-0.28379,-0.434408,HOLD,AVOID,AVOID,SELL,SELL
BTC-USD_00063,BTC-USD_00063.png,BTC-USD,crypto,2018-03-06,train,0.061571,-0.071017,-0.266477,-0.332342,-0.309131,-0.523892,SELL,AVOID,AVOID,SELL,AVOID
BTC-USD_00064,BTC-USD_00064.png,BTC-USD,crypto,2018-03-07,train,0.068666,-0.078547,-0.118149,-0.256818,-0.272403,-0.459075,SELL,SELL,SELL,SELL,SELL
BTC-USD_00065,BTC-USD_00065.png,BTC-USD,crypto,2018-03-08,train,0.070369,-0.058958,-0.079376,-0.230139,-0.240785,-0.406579,SELL,SELL,SELL,SELL,SELL
BTC-USD_00066,BTC-USD_00066.png,BTC-USD,crypto,2018-03-09,train,0.074516,-0.006135,-0.021535,-0.133161,-0.166443,-0.307051,SELL,SELL,SELL,SELL,SELL
BTC-USD_00067,BTC-USD_00067.png,BTC-USD,crypto,2018-03-10,train,0.074616,-0.05182,-0.121432,-0.078724,-0.264738,-0.284779,SELL,SELL,SELL,SELL,SELL
BTC-USD_00068,BTC-USD_00068.png,BTC-USD,crypto,2018-03-11,train,0.081282,0.077311,-0.065865,0.00534,-0.252077,-0.269615,HOLD,SELL,HOLD,SELL,SELL
BTC-USD_00069,BTC-USD_00069.png,BTC-USD,crypto,2018-03-12,train,0.084101,-0.039775,-0.138669,-0.070199,-0.317413,-0.337513,SELL,SELL,SELL,SELL,SELL
BTC-USD_00070,BTC-USD_00070.png,BTC-USD,crypto,2018-03-13,train,0.080306,-0.001116,-0.150763,-0.05317,-0.296354,-0.278386,SELL,SELL,SELL,SELL,SELL
BTC-USD_00071,BTC-USD_00071.png,BTC-USD,crypto,2018-03-14,train,0.088265,-0.106032,-0.111626,-0.034885,-0.260833,-0.153142,SELL,SELL,SELL,SELL,SELL
BTC-USD_00072,BTC-USD_00072.png,BTC-USD,crypto,2018-03-15,train,0.0869,0.003748,0.042708,0.04704,-0.103578,-0.04626,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00073,BTC-USD_00073.png,BTC-USD,crypto,2018-03-16,train,0.084628,0.004506,0.071204,0.02321,-0.19155,-0.038639,HOLD,HOLD,HOLD,SELL,SELL
BTC-USD_00074,BTC-USD_00074.png,BTC-USD,crypto,2018-03-17,train,0.081878,-0.051868,0.06847,-0.015585,-0.202257,-0.001109,SELL,HOLD,SELL,SELL,SELL
BTC-USD_00075,BTC-USD_00075.png,BTC-USD,crypto,2018-03-18,train,0.085235,0.038021,0.097593,-0.010646,-0.17644,0.017751,HOLD,HOLD,SELL,SELL,HOLD
BTC-USD_00076,BTC-USD_00076.png,BTC-USD,crypto,2018-03-19,train,0.081871,0.048302,0.076741,-0.033282,-0.17389,-0.03989,HOLD,HOLD,SELL,SELL,SELL
BTC-USD_00077,BTC-USD_00077.png,BTC-USD,crypto,2018-03-20,train,0.081168,0.032244,0.004332,-0.186014,-0.206055,-0.055657,HOLD,HOLD,SELL,SELL,SELL
BTC-USD_00078,BTC-USD_00078.png,BTC-USD,crypto,2018-03-21,train,0.075298,0.001772,-0.047994,-0.257417,-0.274955,-0.071994,HOLD,SELL,SELL,SELL,SELL
BTC-USD_00079,BTC-USD_00079.png,BTC-USD,crypto,2018-03-22,train,0.073259,-0.022746,-0.084056,-0.247214,-0.267314,-0.00939,SELL,SELL,SELL,SELL,SELL
BTC-USD_00080,BTC-USD_00080.png,BTC-USD,crypto,2018-03-23,train,0.071419,0.017169,-0.108239,-0.243184,-0.225216,0.018964,HOLD,SELL,SELL,SELL,HOLD
BTC-USD_00081,BTC-USD_00081.png,BTC-USD,crypto,2018-03-24,train,0.066859,-0.024107,-0.110023,-0.225948,-0.118258,-0.008728,SELL,SELL,SELL,SELL,SELL
BTC-USD_00082,BTC-USD_00082.png,BTC-USD,crypto,2018-03-25,train,0.061527,-0.020082,-0.190346,-0.150618,-0.093301,0.029863,SELL,SELL,SELL,SELL,HOLD
BTC-USD_00083,BTC-USD_00083.png,BTC-USD,crypto,2018-03-26,train,0.062876,-0.03429,-0.209423,-0.214761,-0.06185,0.132299,SELL,SELL,SELL,SELL,HOLD
BTC-USD_00084,BTC-USD_00084.png,BTC-USD,crypto,2018-03-27,train,0.061565,-0.046929,-0.163158,-0.186672,0.014477,0.074656,SELL,SELL,SELL,HOLD,HOLD
BTC-USD_00085,BTC-USD_00085.png,BTC-USD,crypto,2018-03-28,train,0.058697,0.015385,-0.134945,-0.165793,0.028398,0.169674,HOLD,SELL,SELL,HOLD,HOLD
BTC-USD_00086,BTC-USD_00086.png,BTC-USD,crypto,2018-03-29,train,0.066173,-0.10443,-0.115925,-0.140608,-0.006608,0.122049,AVOID,SELL,SELL,SELL,HOLD
BTC-USD_00087,BTC-USD_00087.png,BTC-USD,crypto,2018-03-30,train,0.068379,-0.039159,0.039728,-0.020041,0.130357,0.265908,SELL,HOLD,SELL,HOLD,HOLD
BTC-USD_00088,BTC-USD_00088.png,BTC-USD,crypto,2018-03-31,train,0.065925,0.011975,-0.005338,-0.017538,0.185423,0.312591,HOLD,SELL,SELL,HOLD,HOLD
BTC-USD_00089,BTC-USD_00089.png,BTC-USD,crypto,2018-04-01,train,0.067347,-0.018716,-0.023514,-0.0201,0.237825,0.28148,SELL,SELL,SELL,HOLD,HOLD
BTC-USD_00090,BTC-USD_00090.png,BTC-USD,crypto,2018-04-02,train,0.064579,0.034405,-0.030848,0.017968,0.262149,0.286955,HOLD,SELL,HOLD,HOLD,HOLD
BTC-USD_00091,BTC-USD_00091.png,BTC-USD,crypto,2018-04-03,train,0.064598,0.051223,-0.024683,0.107691,0.217221,0.26529,HOLD,SELL,HOLD,HOLD,HOLD
BTC-USD_00092,BTC-USD_00092.png,BTC-USD,crypto,2018-04-04,train,0.067895,-0.084225,-0.059769,0.057317,0.180481,0.267604,SELL,SELL,HOLD,HOLD,HOLD
BTC-USD_00093,BTC-USD_00093.png,BTC-USD,crypto,2018-04-05,train,0.064464,-0.006201,-0.0122,0.152911,0.347059,0.347395,SELL,SELL,HOLD,HOLD,HOLD
BTC-USD_00094,BTC-USD_00094.png,BTC-USD,crypto,2018-04-06,train,0.061399,-0.02605,0.003413,0.201149,0.261328,0.369691,SELL,HOLD,HOLD,HOLD,HOLD
BTC-USD_00095,BTC-USD_00095.png,BTC-USD,crypto,2018-04-07,train,0.061651,0.04057,0.048817,0.194191,0.335467,0.374898,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00096,BTC-USD_00096.png,BTC-USD,crypto,2018-04-08,train,0.057299,0.016137,0.132374,0.134,0.262657,0.304707,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00097,BTC-USD_00097.png,BTC-USD,crypto,2018-04-09,train,0.059457,-0.036656,0.117087,0.150399,0.285949,0.273717,SELL,HOLD,HOLD,HOLD,HOLD
BTC-USD_00098,BTC-USD_00098.png,BTC-USD,crypto,2018-04-10,train,0.054843,0.009412,0.165111,0.202961,0.330129,0.320109,HOLD,HOLD,HOLD,HOLD,HOLD
BTC-USD_00099,BTC-USD_00099.png,BTC-USD,crypto,2018-04-11,train,0.050471,0.019353,0.197735,0.257925,0.30158,0.280074,HOLD,BUY,BUY,HOLD,HOLD
BTC-USD_00100,BTC-USD_00100.png,BTC-USD,crypto,2018-04-12,train,0.06465,0.124127,0.145374,0.24418,0.268987,0.191785,BUY,HOLD,HOLD,HOLD,HOLD
BTC-USD_00101,BTC-USD_00101.png,BTC-USD,crypto,2018-04-13,train,0.063213,0.00085,0.001626,0.10953,0.157599,0.07514,HOLD,HOLD,HOLD,HOLD,HOLD
